nct_id,brief_title,phase,conditions,overall_status,enrollment_count,num_locations,num_countries,countries,start_date,primary_completion_date
NCT03315195,Preoperative Oral Nutritional Supplement vs Conventional Dietary Advice in Major Gastrointestinal Surgery,NA,"Surgery--Complications, Nutrition Aspect of Cancer",UNKNOWN,268.0,1,1,Thailand,2017-11-25,2021-11
NCT02606539,Surgery Plus Single Agent Chemotherapy Versus Primary Chemotherapy for Gestational Trophoblastic Neoplasms,PHASE2,Gestational Trophoblastic Neoplasms,UNKNOWN,20.0,2,1,Egypt,2015-09,2017-06
NCT07021677,"Use of a New Medicine ""Daratumumab"" to Treat Left-over Cancer in a Blood Cancer Called ""T Acute Lymphoblastic Leukemia""",PHASE2,T Acute Lymphoblastic Leukemia,RECRUITING,18.0,1,1,India,2023-08-28,2026-08-28
NCT01308775,Comparing (SIS.NET) to Standard Care in Patients Who Have Completed the Acute Phase of Treatment for Early Breast Cancer,NA,Breast Cancer,COMPLETED,102.0,1,1,United States,2011-01,2014-03
NCT05038657,"Atezolizumab Immunotherapy, in Immunotherapy Naive Patients With Urinary Tract Squamous Cell Carcinoma (UTSCC).",PHASE2,"Squamous Cell Carcinoma, Urinary Tract Cancer",UNKNOWN,36.0,1,1,United Kingdom,2022-05-30,2024-01
NCT07140601,Environmental Pollutants and Neurological Disorders,,"Cerebrovascular Disorders, Brain Tumours, Alzheimer Dementia",RECRUITING,500.0,1,1,China,2025-08-01,2025-12-31
NCT06585501,A Study of Treatment Patterns in HER2-positive Unresectable and Advanced Gastric/ Gastroesophageal Junction Cancer in China,,"Gastric Cancer, Gastroesophageal Junction Cancer",COMPLETED,805.0,9,1,China,2024-08-15,2025-07-30
NCT05518201,Evaluate the Safety and Immunogenicity of a 9-valent HPV Vaccine in Chinese Healthy Male Aged 9-45 Year-old,PHASE1,"Penile Cancer, Anal Cancer, PIN-1, PIN-2, PIN-3, AIN1, AIN2, AIN3, Genital Wart",COMPLETED,90.0,1,1,China,2022-09-23,2023-11-20
NCT05888701,"""Don't Eat me"" Signal in Hematological Malignancies: CD24 as New Target to Improve Anti-cancer Immunity.",,"Mantle-cell Lymphoma, B Cell Chronic Lymphocytic Leukemia",UNKNOWN,30.0,1,1,Italy,2022-09-08,2023-09
NCT03372681,Comparative Study of Antiperistaltic vs Isoperistaltic Billroth II + Braun Anastomosis for Postoperative Reflux,NA,"Gastric Cancer, Postoperative Complications",UNKNOWN,214.0,0,0,,2018-01-01,2021-12-31
NCT01193881,RO4929097 and Erlotinib Hydrochloride in Treating Patients With Stage IV or Recurrent Non-small Cell Lung Cancer,PHASE1,"Recurrent Non-Small Cell Lung Carcinoma, Stage IV Non-Small Cell Lung Cancer",TERMINATED,16.0,1,1,United States,2010-08,2015-08
NCT02284919,[18F]ISO-1 Positron Emission Tomography (PET/CT) in Primary Breast Cancer,PHASE1,"Breast Cancer, Breast Neoplasm",ACTIVE_NOT_RECRUITING,30.0,1,1,United States,2014-11,2025-11
NCT00093119,Trial of ABI-007 in Previously Treated Patients With Metastatic Melanoma,PHASE2,"Melanoma, Metastases",COMPLETED,75.0,1,1,United States,2003-07,2005-02
NCT01779128,PET-CT vs. Integrated MR-PET Scanning of GYN Cancers,EARLY_PHASE1,"Cervical Cancer, Endometrial Cancer, Ovarian Cancer",UNKNOWN,100.0,1,1,United States,2013-03,2015-03
NCT02947165,Phase I/Ib Study of NIS793 in Combination With PDR001 in Patients With Advanced Malignancies.,PHASE1,"Breast Cancer, Lung Cancer, Hepatocellular Cancer, Colorectal Cancer, Pancreatic Cancer, Renal Cancer",COMPLETED,120.0,12,9,"Austria, Canada, Germany, Hong Kong, Italy, Japan, Switzerland, Taiwan, United States",2017-04-25,2021-06-18
NCT03307200,Unmet Supportive Care Needs in Bladder Cancer Patients Undergoing Radical Cystectomy,,"Bladder Cancer, Urologic Cancer, Surgery",COMPLETED,90.0,2,1,Belgium,2017-04-03,2020-12-31
